新MJ_ID	新unicode	新note	旧MJ_ID	旧unicode 旧note
MJ013846	校		MJ013847	missing
MJ013921	桟	なりたち：常用漢字は省略形による。	MJ014074	棧
MJ013827	栓		MJ013826	missing
MJ013961	梅		MJ030265	梅
MJ013998	梢		MJ013997	missing
MJ010771	巣		MJ010769	巢
MJ014138	検	なりたち：教育漢字は省略形による。	MJ014599	檢
MJ014060	棚		MJ014059	missing
MJ014245	楽	なりたち：教育漢字は省略形による。	MJ014406	樂
MJ014032	棄		MJ014033	missing
MJ014244	楼	なりたち：常用漢字は省略形による。	MJ014425	樓
MJ014476	樺		MJ014477	missing
MJ014250	概	なりたち：常用漢字は俗字による。	MJ014374	槪
MJ014339	構		MJ014338	missing
MJ014355	様	なりたち：教育漢字は省略形による。	MJ014447	樣
MJ014356	槙		MJ014333	槇
MJ014443	模		MJ014444	missing
MJ014455	横	なりたち：教育漢字は一画を省いた俗字による。	MJ014537	橫
MJ014454	権	なりたち：教育漢字は省略形による。	MJ014724	權
MJ014520	機		MJ014521	missing
MJ019592	築		MJ019593	missing	入力者註：正確には※(glyphwiki koseki-290810の筑＋木)
MJ014716	欄		MJ030183	欄
MJ014747	欠	欠の旧字(A);部首解説：あくびをする意	MJ020502	缺	欠の旧字(B);なりたち：古くから、俗に誤って欠と混用されていた。教育漢字はこれによる。
MJ014749	次		MJ014748	missing
MJ014755	欧	なりたち：常用漢字は省略形の俗字による。	MJ014801	歐
MJ018090	盗	なりたち：常用漢字は俗字による。	MJ018095	盜
MJ028367	飲		MJ028363	飮
MJ014805	歓	なりたち：常用漢字は省略形の俗字による。	MJ014822	歡
MJ014831	歩	なりたち：教育漢字は字画を誤った俗字による。	MJ014827	步
MJ014844	歳	なりたち：常用漢字は字形を少し変えたものによる。	MJ014841	歲
MJ014845	歴	なりたち：教育漢字は省略形による。	MJ014848	歷
MJ010857	帰	なりたち：教育漢字は省略形による。	MJ014849	歸
MJ014867	残	なりたち：教育漢字は省略形の俗字による。	MJ014879	殘
MJ014910	殴		MJ014929	毆
MJ014916	殺	なりたち：教育漢字は省略形による。	MJ030187	殺
MJ014918	殻	なりたち：常用漢字は省略形による。	MJ014919	殼󠄁
MJ014939	毎	なりたち：教育漢字は省略形による。	MJ014940	每
MJ015013	気		MJ015020	氣
MJ015162	沢	なりたち：常用漢字は俗字による。	MJ016002	澤
MJ015160	没	なりたち：常用漢字は、字形を誤った俗字による。	MJ015142	沒
MJ015186	沿		MJ015188	missing
MJ015235	注		MJ015236	missing
MJ015227	泡		MJ015226	missing
MJ015371	海	なりたち：教育漢字は省略形による。	MJ030266	海
MJ015333	浄	なりたち：常用漢字は俗字による。	MJ015488	淨	なりたち：古くから、瀞の略字として用いられている。
MJ015334	浅	なりたち：教育漢字は省略形の俗字による。	MJ015510	淺
MJ015325	派		MJ015324	missing
MJ015356	浩		MJ015355	missing
MJ015391	消		MJ015390	missing
MJ015373	浸		MJ015372	missing
MJ015342	浜	浜の旧字(B);なりたち：舟を引き入れるみぞの意を表わす。常用漢字は、俗に浜を濱の意に用いたのによる。	MJ016101	濱	濱の旧字(A);なりたち：波打ちぎわの意を表わす。
MJ015362	浮		MJ015361	missing
MJ015330	流		MJ015329	missing
MJ015409	涙	なりたち：常用漢字は省略形による。	MJ015472	淚
MJ015525	渇	なりたち：常用漢字は俗字による。	MJ015573	渴
MJ015532	渓	常用漢字は省略形による。	MJ015703	溪
MJ015529	渋	なりたち：常用漢字は［旧字を］さらに省略した。	MJ015965	澁	なりたち：旧字は［本字澀の］音符を省略した。
MJ015538	渚		MJ030267	渚
MJ015527	渉	なりたち：常用漢字は步を歩に改めたもの。	MJ015392	涉
MJ015523	清		MJ015507	淸
MJ015526	済	なりたち：教育漢字は省略形による。	MJ016074	濟
MJ015511	添	なりたち：沾の俗字であるが、特に「そえる」意に用いる。	MJ015512	missing
MJ015557	温	なりたち：教育漢字は俗字による。	MJ015705	溫
MJ015565	港		MJ015564	missing
MJ015743	滋	なりたち：常用漢字は省略形による。	MJ015746	missing
MJ015662	湿	なりたち：常用漢字は省略形による。	MJ016061	濕	なりたち：旧字はもと川の名を表わしたが、溼と通用する。
MJ015663	満	なりたち：教育漢字は省略形の俗字による。	MJ015796	滿
MJ015630	湧		MJ015631	missing
MJ015660	湾	なりたち：常用漢字は省略形による。	MJ016251	灣
MJ015841	漢	なりたち：教育漢字は省略形による。	MJ030268	漢
MJ015687	溝		MJ015686	missing
MJ015769	滞	なりたち：常用漢字は省略形による。	MJ015778	滯
MJ015838	漠		MJ015839	missing
MJ015768	滝	なりたち：常用漢字は俗字による。	MJ016178	瀧
MJ015783	滴		MJ015784	missing
MJ015897	潔		MJ015899	missing
MJ015912	潜	なりたち：常用漢字は字形を誤り省略した俗字による。	MJ015907	潛
MJ015937	潮		MJ015936	missing	なりたち：楷書では、𠦝を朝に改めた。
MJ016098	濯		MJ016097	missing
MJ016190	瀬		MJ016185	瀨
MJ016267	灰	教育漢字は、俗字による。	MJ016266	missing
MJ016265	灯	灯の旧字(A);なりたち：もと、燃えさかる火の意を表わしたが、俗に燈の意に用いる。教育漢字はこれによる。	MJ016622	燈	灯の旧字(B);なりたち：「ともしび」の意を表わす。
MJ016297	炉	なりたち：常用漢字は俗字による。	MJ016701	爐
MJ016333	炭	なりたち：教育漢字は正字による。	MJ016334	missing
MJ016520	煮	なりたち：常用漢字はその［＝旧字煮の］省略形による。	MJ030269	煮	なりたち：もと、䰞と書いた。旧字は𩰲を火に改めたもの。
MJ016463	焼	なりたち：教育漢字は省略形による。	MJ016634	燒
MJ016497	煙		MJ016496	missing
MJ016683	燿		MJ016682	missing	（参考）：もと、耀の本字。
MJ026586	采		MJ026587	missing
MJ006434	争	なりたち：教育漢字は俗字による。	MJ016736	爭
MJ016350	為	なりたち：常用漢字は俗字による。	MJ016743	爲
MJ016747	爵		MJ016748	missing
MJ016749	父		MJ016750	missing
MJ016872	犠	なりたち：常用漢字は省略形による。	MJ016879	犧
MJ016899	状	なりたち：教育漢字は省略形による。	MJ016907	狀
MJ016953	狭	なりたち：常用漢字は省略形による。	MJ016960	狹
MJ016952	独	なりたち：教育漢字は俗字による。	MJ017081	獨
MJ017008	猪		MJ030208	猪
MJ017009	猫		MJ017010	missing
MJ016999	猟	なりたち：常用漢字は省略形による。	MJ017095	獵
